Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-23 00:00:00-04:00,192.36000061035156,193.36000061035156,190.17999267578125,191.50999450683594,34068100,0.0,0.0
2025-07-24 00:00:00-04:00,198.11000061035156,198.97000122070312,191.9499969482422,193.1999969482422,45252100,0.0,0.0
2025-07-25 00:00:00-04:00,192.92999267578125,195.27499389648438,192.1300048828125,194.0800018310547,31101800,0.0,0.0
2025-07-28 00:00:00-04:00,194.41000366210938,194.82000732421875,191.85499572753906,193.4199981689453,25553500,0.0,0.0
2025-07-29 00:00:00-04:00,193.3000030517578,196.66000366210938,192.99000549316406,196.42999267578125,31891600,0.0,0.0
2025-07-30 00:00:00-04:00,196.3000030517578,198.47999572753906,195.55999755859375,197.44000244140625,21150500,0.0,0.0
2025-07-31 00:00:00-04:00,196.60000610351562,196.8300018310547,192.0800018310547,192.86000061035156,27852000,0.0,0.0
2025-08-01 00:00:00-04:00,189.77999877929688,191.6179962158203,188.6999969482422,189.9499969482422,21236700,0.0,0.0
2025-08-04 00:00:00-04:00,191.1750030517578,196.0800018310547,190.9199981689453,195.75,23386000,0.0,0.0
2025-08-05 00:00:00-04:00,195.5449981689453,198.6999969482422,194.6750030517578,195.32000732421875,19010200,0.0,0.0
2025-08-06 00:00:00-04:00,195.25,197.3800048828125,194.4669952392578,196.9199981689453,15383700,0.0,0.0
2025-08-07 00:00:00-04:00,197.7100067138672,198.3699951171875,195.22000122070312,197.27999877929688,14660600,0.0,0.0
2025-08-08 00:00:00-04:00,197.97999572753906,203.42999267578125,197.89999389648438,202.08999633789062,24379900,0.0,0.0
2025-08-11 00:00:00-04:00,201.55499267578125,202.16000366210938,199.8000030517578,201.6300048828125,16690200,0.0,0.0
2025-08-12 00:00:00-04:00,202.09500122070312,205.1300048828125,201.39999389648438,204.16000366210938,19854000,0.0,0.0
2025-08-13 00:00:00-04:00,204.97999572753906,205.42999267578125,198.63999938964844,203.02999877929688,19573000,0.0,0.0
2025-08-14 00:00:00-04:00,202.55999755859375,205.4199981689453,202.3249969482422,203.82000732421875,17777100,0.0,0.0
2025-08-15 00:00:00-04:00,204.72000122070312,207.3300018310547,202.0850067138672,204.91000366210938,21111400,0.0,0.0
2025-08-18 00:00:00-04:00,205.07000732421875,206.13999938964844,203.41000366210938,204.2899932861328,13000200,0.0,0.0
2025-08-19 00:00:00-04:00,203.90499877929688,204.2899932861328,200.92999267578125,202.49000549316406,13476600,0.0,0.0
2025-08-20 00:00:00-04:00,201.67999267578125,202.1699981689453,197.4600067138672,200.19000244140625,13971700,0.0,0.0
2025-08-21 00:00:00-04:00,200.72000122070312,203.36000061035156,200.39999389648438,200.6199951171875,11768900,0.0,0.0
2025-08-22 00:00:00-04:00,203.9600067138672,209.22999572753906,202.1300048828125,206.72000122070312,25697700,0.0,0.0
